scenario,seed,trades,wins,win_rate,total_pnl,profit_factor,max_drawdown_pct,ranging_trades
regime_flip_fast,1,0,0,0,0,0,0,0
regime_flip_fast,2,0,0,0,0,0,0,0
regime_flip_fast,3,0,0,0,0,0,0,0
regime_flip_fast,4,0,0,0,0,0,0,0
regime_flip_fast,5,1,0,0.00,-547.02,0.00,0.55,0
regime_flip_slow,1,0,0,0,0,0,0,0
regime_flip_slow,2,1,0,0.00,-244.83,0.00,0.24,0
regime_flip_slow,3,0,0,0,0,0,0,0
regime_flip_slow,4,0,0,0,0,0,0,0
regime_flip_slow,5,1,0,0.00,-526.88,0.00,0.53,0
vol_shock_1_5x,1,0,0,0,0,0,0,0
vol_shock_1_5x,2,1,0,0.00,-237.92,0.00,0.24,0
vol_shock_1_5x,3,0,0,0,0,0,0,0
vol_shock_1_5x,4,0,0,0,0,0,0,0
vol_shock_1_5x,5,1,0,0.00,-491.94,0.00,0.49,0
vol_shock_2x,1,0,0,0,0,0,0,0
vol_shock_2x,2,1,0,0.00,-192.90,0.00,0.19,0
vol_shock_2x,3,0,0,0,0,0,0,0
vol_shock_2x,4,0,0,0,0,0,0,0
vol_shock_2x,5,1,0,0.00,-359.95,0.00,0.36,0
vol_shock_3x,1,0,0,0,0,0,0,0
vol_shock_3x,2,1,1,100.00,178.61,999.99,0.00,0
vol_shock_3x,3,0,0,0,0,0,0,0
vol_shock_3x,4,0,0,0,0,0,0,0
vol_shock_3x,5,1,0,0.00,-233.97,0.00,0.23,0
missing_5pct,1,0,0,0,0,0,0,0
missing_5pct,2,2,0,0.00,-228.53,0.00,0.23,0
missing_5pct,3,0,0,0,0,0,0,0
missing_5pct,4,0,0,0,0,0,0,0
missing_5pct,5,1,0,0.00,-479.94,0.00,0.48,0
missing_15pct,1,1,1,100.00,353.63,999.99,0.00,0
missing_15pct,2,1,1,100.00,5.54,999.99,0.00,0
missing_15pct,3,1,1,100.00,12.11,999.99,0.00,0
missing_15pct,4,0,0,0,0,0,0,0
missing_15pct,5,3,0,0.00,-596.38,0.00,0.60,0
latency_500ms,1,0,0,0,0,0,0,0
latency_500ms,2,1,0,0.00,-212.20,0.00,0.21,0
latency_500ms,3,0,0,0,0,0,0,0
latency_500ms,4,0,0,0,0,0,0,0
latency_500ms,5,1,0,0.00,-461.94,0.00,0.46,0
