seed,window_label,mode,threshold,trades,wins,win_rate,total_pnl,profit_factor,max_drawdown_pct,expectancy,trending_trades,ranging_trades,correlation_id
1,full,STRICT,0.55,0,0,0,0,0,0,0,0,0,phase14-final-cal-sweep-s1-t0.55
1,full,STRICT,0.60,0,0,0,0,0,0,0,0,0,phase14-final-cal-sweep-s1-t0.60
1,full,STRICT,0.65,0,0,0,0,0,0,0,0,0,phase14-final-cal-sweep-s1-t0.65
1,full,STRICT,0.70,0,0,0,0,0,0,0,0,0,phase14-final-cal-sweep-s1-t0.70
1,full,STRICT,0.75,0,0,0,0,0,0,0,0,0,phase14-final-cal-sweep-s1-t0.75
2,full,STRICT,0.55,1,0,0.00,-340.80,0.00,0.34,-340.80,1,0,phase14-final-cal-sweep-s2-t0.55
2,full,STRICT,0.60,1,0,0.00,-337.58,0.00,0.34,-337.58,1,0,phase14-final-cal-sweep-s2-t0.60
2,full,STRICT,0.65,1,0,0.00,-334.37,0.00,0.33,-334.37,1,0,phase14-final-cal-sweep-s2-t0.65
2,full,STRICT,0.70,1,0,0.00,-331.15,0.00,0.33,-331.15,1,0,phase14-final-cal-sweep-s2-t0.70
2,full,STRICT,0.75,1,0,0.00,-327.94,0.00,0.33,-327.94,1,0,phase14-final-cal-sweep-s2-t0.75
3,full,STRICT,0.55,0,0,0,0,0,0,0,0,0,phase14-final-cal-sweep-s3-t0.55
3,full,STRICT,0.60,0,0,0,0,0,0,0,0,0,phase14-final-cal-sweep-s3-t0.60
3,full,STRICT,0.65,0,0,0,0,0,0,0,0,0,phase14-final-cal-sweep-s3-t0.65
3,full,STRICT,0.70,0,0,0,0,0,0,0,0,0,phase14-final-cal-sweep-s3-t0.70
3,full,STRICT,0.75,0,0,0,0,0,0,0,0,0,phase14-final-cal-sweep-s3-t0.75
4,full,STRICT,0.55,0,0,0,0,0,0,0,0,0,phase14-final-cal-sweep-s4-t0.55
4,full,STRICT,0.60,0,0,0,0,0,0,0,0,0,phase14-final-cal-sweep-s4-t0.60
4,full,STRICT,0.65,0,0,0,0,0,0,0,0,0,phase14-final-cal-sweep-s4-t0.65
4,full,STRICT,0.70,0,0,0,0,0,0,0,0,0,phase14-final-cal-sweep-s4-t0.70
4,full,STRICT,0.75,0,0,0,0,0,0,0,0,0,phase14-final-cal-sweep-s4-t0.75
5,full,STRICT,0.55,1,0,0.00,-707.91,0.00,0.71,-707.91,1,0,phase14-final-cal-sweep-s5-t0.55
5,full,STRICT,0.60,1,0,0.00,-689.91,0.00,0.69,-689.91,1,0,phase14-final-cal-sweep-s5-t0.60
5,full,STRICT,0.65,1,0,0.00,-677.91,0.00,0.68,-677.91,1,0,phase14-final-cal-sweep-s5-t0.65
5,full,STRICT,0.70,1,0,0.00,-659.91,0.00,0.66,-659.91,1,0,phase14-final-cal-sweep-s5-t0.70
5,full,STRICT,0.75,1,0,0.00,-647.92,0.00,0.65,-647.92,1,0,phase14-final-cal-sweep-s5-t0.75
6,full,STRICT,0.55,2,1,50.00,-258.49,0.63,0.70,-129.24,2,0,phase14-final-cal-sweep-s6-t0.55
6,full,STRICT,0.60,2,1,50.00,-264.21,0.63,0.70,-132.10,2,0,phase14-final-cal-sweep-s6-t0.60
